device_id,now+0h,now+1h,now+2h,now+3h,now+4h,now+5h,LATITUDE,LONGTITUDE,GRID
74DA38AF4884,48.0,49.594587193619006,50.725159927797,52.034393146818,53.428292681147006,54.765293404819005,24.093000000000004,120.546,"(4, 2)"
74DA38AF4898,41.67,44.323670653984,46.065026950436,48.023938651491,50.062694033013,52.162475501567,23.576999999999998,120.301,"(6, 2)"
74DA38AF489A,41.0,43.449048190007,44.290927960895004,45.208473440274,46.219059950283004,47.340533783034,23.499000000000002,120.384,"(6, 2)"
74DA38AF48A0,39.0,41.239126541879,41.140542650701,40.991365831532,40.931764066388,40.898242316128,24.353,120.745,"(3, 3)"
74DA38AF48A2,13.0,10.664368425496,12.058678636928999,12.046145054010001,11.503647888498001,11.4726283848,22.988000000000003,120.21600000000001,"(8, 2)"
74DA38AF48B2,33.5,40.014071863951,40.372660857145,40.423730366014,40.377012363342,40.328568417051,24.24,120.796,"(3, 3)"
74DA38AF48B6,41.33,40.398316826243,40.808378953402,41.252974897444,41.758112750465,42.356623395035,24.953000000000003,121.23299999999999,"(1, 3)"
74DA38AF48BC,37.5,42.90424565072,43.811189436754,44.700624946069,45.550791383124,46.341006619977996,24.05,120.553,"(4, 2)"
74DA38AF48C2,52.0,57.331946448844995,59.080036210517996,61.165677617810005,63.490617503687,65.933358208181,24.023000000000003,120.491,"(4, 2)"
74DA38AF48D0,36.33,34.368322016429,33.706121840592,35.179684624178,35.47421516236,36.16914828814,22.666,120.315,"(9, 2)"
74DA38AF48F4,31.0,30.736559497068,30.783461125756997,31.038809980949,31.474319953007,31.660816628554002,23.131,120.2,"(7, 2)"
74DA38AF4906,45.0,39.055242207815,37.913537909314,37.959992694016,38.339348907575,38.750559161313,25.094,121.712,"(1, 4)"
74DA38AF4920,36.5,33.884686505672,33.759411544663,33.625977939043004,33.487011772152,33.345854961502,24.915,121.16799999999999,"(1, 3)"
74DA38AF4922,29.0,16.988088188644,17.686495475464,18.395739768864,18.997441139128,19.461052031357,25.079,121.551,"(1, 4)"
74DA38AF492C,36.67,39.087263308599,39.958421644199,40.485121967032,40.725665035809996,40.782186405074,23.558000000000003,120.29899999999999,"(6, 2)"
74DA38AF4930,41.67,45.912170878019,46.643192250771996,47.310607765332,47.91852207745,48.443403987742,24.798000000000002,120.98700000000001,"(2, 3)"
74DA38AF4942,34.0,31.243212704443998,31.322842403207,33.755811384190004,35.232214902249,35.014142436324,23.826,120.791,"(5, 3)"
74DA38AF4946,34.5,32.236324518686,32.334564292158,32.377470022481,32.396600841524,32.405208626686,22.991999999999997,120.198,"(8, 2)"
74DA38AF4948,37.0,42.917581378053,42.861140848324,42.822316315396,42.795527402876,42.777004001889,24.755,121.056,"(2, 3)"
